?   	main	[no test files]
goos: linux
goarch: arm64
pkg: main/benchmarks
Benchmark_DynamodbAttribute_MarshalMap_User1KB-64        	 2097294	     34391 ns/op	   20886 B/op	     205 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User1KB-64      	 3979148	     18090 ns/op	    2998 B/op	      32 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User10KB-64       	 2298912	     31333 ns/op	   19916 B/op	     194 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User10KB-64     	 4470734	     16110 ns/op	    2870 B/op	      32 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User100KB-64      	 2423965	     29709 ns/op	   17975 B/op	     178 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User100KB-64    	 4546298	     15839 ns/op	    2838 B/op	      34 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User300KB-64      	 2339660	     30755 ns/op	   19555 B/op	     191 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User300KB-64    	 4589962	     15694 ns/op	    2839 B/op	      31 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_String-64         	13737585	      5222 ns/op	    2968 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_String-64       	16291572	      4419 ns/op	     544 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int-64            	13970731	      5161 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int-64          	16731870	      4306 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int8-64           	13815926	      5215 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int8-64         	17007126	      4238 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int16-64          	13736443	      5254 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int16-64        	16992900	      4242 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int32-64          	13695985	      5259 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int32-64        	16812355	      4282 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int64-64          	13738488	      5248 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int64-64        	16604932	      4334 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint-64           	13833404	      5205 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint-64         	17012599	      4233 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint8-64          	13697734	      5247 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint8-64        	18155730	      3966 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint16-64         	13643103	      5286 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint16-64       	17203947	      4186 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint32-64         	13626577	      5280 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint32-64       	17276355	      4163 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint64-64         	13673047	      5262 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint64-64       	17046686	      4227 ns/op	     464 B/op	      23 allocs/op
PASS
ok  	main/benchmarks	2160.491s
