?   	main	[no test files]
goos: linux
goarch: amd64
pkg: main/benchmarks
cpu: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz
Benchmark_DynamodbAttribute_MarshalMap_User1KB-64        	 4948390	     14493 ns/op	   14641 B/op	     146 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User1KB-64      	 9725785	      7397 ns/op	    2663 B/op	      32 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User10KB-64       	 3770654	     19116 ns/op	   19196 B/op	     194 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User10KB-64     	 7635678	      9420 ns/op	    3015 B/op	      39 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User100KB-64      	 4295968	     16745 ns/op	   17849 B/op	     176 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User100KB-64    	 9148293	      7878 ns/op	    2774 B/op	      32 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User300KB-64      	 3702777	     19471 ns/op	   19845 B/op	     200 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User300KB-64    	 7690428	      9368 ns/op	    3015 B/op	      37 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_String-64         	22937265	      3133 ns/op	    2968 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_String-64       	31739460	      2263 ns/op	     544 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int-64            	23774172	      3030 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int-64          	31856503	      2256 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int8-64           	23461825	      3065 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int8-64         	33098661	      2173 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int16-64          	23121284	      3097 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int16-64        	32784926	      2198 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int32-64          	23116634	      3098 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int32-64        	32561377	      2211 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int64-64          	23185149	      3104 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int64-64        	31692228	      2267 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint-64           	23512995	      3061 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint-64         	32358613	      2226 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint8-64          	23158712	      3115 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint8-64        	34858184	      2066 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint16-64         	22937920	      3133 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint16-64       	33133464	      2173 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint32-64         	22979788	      3136 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint32-64       	33674396	      2133 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint64-64         	23085493	      3135 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint64-64       	31507828	      2287 ns/op	     464 B/op	      23 allocs/op
PASS
ok  	main/benchmarks	2158.703s
