?   	main	[no test files]
goos: linux
goarch: arm64
pkg: main/benchmarks
Benchmark_DynamodbAttribute_MarshalMap_User1KB-64        	 2383710	     30182 ns/op	   18464 B/op	     179 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User1KB-64      	 4471143	     16095 ns/op	    2854 B/op	      33 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User10KB-64       	 2309382	     31177 ns/op	   19908 B/op	     194 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User10KB-64     	 4560090	     15794 ns/op	    2854 B/op	      31 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User100KB-64      	 2339193	     30779 ns/op	   18696 B/op	     184 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User100KB-64    	 4405579	     16337 ns/op	    2886 B/op	      35 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User300KB-64      	 1944702	     37052 ns/op	   21969 B/op	     218 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User300KB-64    	 3637510	     19786 ns/op	    3158 B/op	      40 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_String-64         	13713818	      5246 ns/op	    2968 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_String-64       	16331478	      4411 ns/op	     544 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int-64            	13944909	      5189 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int-64          	16640703	      4322 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int8-64           	13810616	      5221 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int8-64         	17026953	      4230 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int16-64          	13710306	      5263 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int16-64        	16917417	      4251 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int32-64          	13668258	      5271 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int32-64        	16801802	      4286 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int64-64          	13790152	      5244 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int64-64        	16496674	      4368 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint-64           	13770440	      5235 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint-64         	16949570	      4252 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint8-64          	13671416	      5271 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint8-64        	18180668	      3957 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint16-64         	13650126	      5287 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint16-64       	17240938	      4178 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint32-64         	13667642	      5284 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint32-64       	17322364	      4155 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint64-64         	13650930	      5292 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint64-64       	16914253	      4255 ns/op	     464 B/op	      23 allocs/op
PASS
ok  	main/benchmarks	2161.671s
