?   	main	[no test files]
goos: linux
goarch: amd64
pkg: main/benchmarks
cpu: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz
Benchmark_DynamodbAttribute_MarshalMap_User1KB-64        	 3752432	     19121 ns/op	   19308 B/op	     192 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User1KB-64      	 7737804	      9292 ns/op	    2998 B/op	      37 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User10KB-64       	 3601825	     19988 ns/op	   21104 B/op	     210 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User10KB-64     	 7772547	      9254 ns/op	    2998 B/op	      32 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User100KB-64      	 4739120	     15213 ns/op	   15235 B/op	     154 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User100KB-64    	 9292970	      7744 ns/op	    2727 B/op	      35 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User300KB-64      	 4776824	     15096 ns/op	   15780 B/op	     158 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User300KB-64    	 9549116	      7539 ns/op	    2694 B/op	      33 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_String-64         	23156102	      3111 ns/op	    2968 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_String-64       	31801426	      2262 ns/op	     544 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int-64            	23677282	      3025 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int-64          	31293865	      2299 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int8-64           	23671375	      3048 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int8-64         	33005895	      2182 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int16-64          	23414073	      3090 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int16-64        	32379097	      2220 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int32-64          	23271759	      3092 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int32-64        	32153173	      2241 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int64-64          	23314113	      3091 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int64-64        	31675958	      2271 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint-64           	23462906	      3059 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint-64         	32641299	      2207 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint8-64          	23179040	      3102 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint8-64        	34427421	      2092 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint16-64         	23033290	      3133 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint16-64       	33588272	      2138 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint32-64         	23001638	      3131 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint32-64       	33340804	      2160 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint64-64         	22926956	      3130 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint64-64       	32673610	      2205 ns/op	     464 B/op	      23 allocs/op
PASS
ok  	main/benchmarks	2159.252s
