?   	main	[no test files]
goos: linux
goarch: amd64
pkg: main/benchmarks
cpu: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz
Benchmark_DynamodbAttribute_MarshalMap_User1KB-64        	 3454728	     20772 ns/op	   21401 B/op	     210 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User1KB-64      	 7345125	      9805 ns/op	    3110 B/op	      38 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User10KB-64       	 3602133	     19966 ns/op	   20807 B/op	     207 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User10KB-64     	 7598748	      9474 ns/op	    3014 B/op	      34 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User100KB-64      	 4842180	     14872 ns/op	   15435 B/op	     155 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User100KB-64    	 9658604	      7455 ns/op	    2678 B/op	      33 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User300KB-64      	 3279940	     21959 ns/op	   22989 B/op	     227 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User300KB-64    	 7051110	     10208 ns/op	    3190 B/op	      39 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_String-64         	22988313	      3123 ns/op	    2968 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_String-64       	31701620	      2273 ns/op	     544 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int-64            	23779393	      3020 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int-64          	32215886	      2240 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int8-64           	23633318	      3050 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int8-64         	32651172	      2204 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int16-64          	23279236	      3093 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int16-64        	32578554	      2206 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int32-64          	23211771	      3092 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int32-64        	32078499	      2244 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int64-64          	23303586	      3102 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int64-64        	31301320	      2298 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint-64           	23603436	      3055 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint-64         	32734826	      2199 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint8-64          	23249254	      3104 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint8-64        	34350463	      2096 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint16-64         	22966296	      3128 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint16-64       	34060585	      2115 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint32-64         	23076972	      3128 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint32-64       	33035799	      2179 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint64-64         	23066914	      3129 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint64-64       	32158930	      2244 ns/op	     464 B/op	      23 allocs/op
PASS
ok  	main/benchmarks	2160.138s
